,hash,message,date,filename,parents,files,lines,deletions,insertions,classification,confidence,explanation
0,4dbaad7d9a911b240242851874561f2b3f77bc35,Added a README,2015-02-25 10:34:26+01:00,README.md,[],1,3,0,3,not bug fix,1.0,commit message only mentions adding a README file
1,38346ccec65ca5903e86fcd80cc4a05c5ab77c71,Added members label,2015-02-25 10:41:58+01:00,README.md,['4dbaad7d9a911b240242851874561f2b3f77bc35'],1,2,0,2,not bug fix,1.0,"commit message only includes keyword for addition, no indications of fixing bugs"
2,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,Scenes.meta,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
3,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,HelloWorld.unity,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
4,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,HelloWorld.unity.meta,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
5,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,AnnotationManager,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
6,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,AssetImportState,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
7,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,AssetServerCacheV3,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
8,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,BuildPlayer.prefs,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
9,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,BuildSettings.asset,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
10,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,CurrentLayout.dwlt,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
11,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,EditorUserBuildSettings.asset,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
12,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,EditorUserSettings.asset,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
13,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,FailedAssetImports.txt,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
14,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,InspectorExpandedItems.asset,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
15,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,MonoManager.asset,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
16,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,CompilationCompleted.txt,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
17,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,ScriptMapper,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
18,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,assetDatabase3,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
19,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,guidmapper,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
20,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,00000000000000001000000000000000,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
21,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,00000000000000002000000000000000,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
22,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,00000000000000003000000000000000,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
23,0285714823e1da5ec6100f383cc84f83d0a77feb,"Initial Commit, Hello world scene",2015-02-25 22:27:08+01:00,00000000000000004000000000000000,['38346ccec65ca5903e86fcd80cc4a05c5ab77c71'],50,11,0,11,not bug fix,1.0,commit message is an initial setup with no indication of bug fixing
